"title","links"
"Planet Earth II","/title/tt5491994/"
"Game of Thrones","/title/tt0944947/"
"Band of Brothers","/title/tt0185906/"
"Planet Earth","/title/tt0795176/"
"Breaking Bad","/title/tt0903747/"
"The Wire","/title/tt0306414/"
"Blue Planet II","/title/tt6769208/"
"Cosmos","/title/tt2395695/"
"Rick and Morty","/title/tt2861424/"
"Cosmos","/title/tt0081846/"
"The Sopranos","/title/tt0141842/"
"The World at War","/title/tt0071075/"
"Avatar: The Last Airbender","/title/tt0417299/"
"Life","/title/tt1533395/"
"Sherlock","/title/tt1475582/"
"The Vietnam War","/title/tt1877514/"
"The Twilight Zone","/title/tt0052520/"
"Human Planet","/title/tt1806234/"
"Dekalog","/title/tt0092337/"
"The Civil War","/title/tt0098769/"
"Firefly","/title/tt0303461/"
"Hagane no renkinjutsushi","/title/tt1355642/"
"True Detective","/title/tt2356777/"
"Fargo","/title/tt2802850/"
"Batman: The Animated Series","/title/tt0103359/"
"Last Week Tonight with John Oliver","/title/tt3530232/"
"Death Note: Desu nôto","/title/tt0877057/"
"The Blue Planet","/title/tt0296310/"
"Kaubôi bibappu","/title/tt0213338/"
"Black Mirror","/title/tt2085059/"
"Mahabharat","/title/tt0158417/"
"Frozen Planet","/title/tt2092588/"
"One Punch Man: Wanpanman","/title/tt4508902/"
"Africa","/title/tt2571774/"
"Pride and Prejudice","/title/tt0112130/"
"Monty Python's Flying Circus","/title/tt0063929/"
"Das Boot","/title/tt0081834/"
"Friends","/title/tt0108778/"
"Only Fools and Horses....","/title/tt0081912/"
"Seinfeld","/title/tt0098904/"
"Apocalypse: La 2ème guerre mondiale","/title/tt1508238/"
"Stranger Things","/title/tt4574334/"
"Arrested Development","/title/tt0367279/"
"Gravity Falls","/title/tt1865718/"
"Twin Peaks","/title/tt0098936/"
"Over the Garden Wall","/title/tt3718778/"
"Narcos","/title/tt2707408/"
"Freaks and Geeks","/title/tt0193676/"
"I, Claudius","/title/tt0074006/"
"House of Cards","/title/tt1856010/"
"The Office","/title/tt0386676/"
"Sahsiyet","/title/tt7920978/"
"TVF Pitchers","/title/tt4742876/"
"Westworld","/title/tt0475784/"
"Fawlty Towers","/title/tt0072500/"
"Peaky Blinders","/title/tt2442560/"
"Blackadder Goes Forth","/title/tt0096548/"
"Cobra Kai","/title/tt7221388/"
"Rome","/title/tt0384766/"
"Love, Death & Robots","/title/tt9561862/"
"Oz","/title/tt0118421/"
"It's Always Sunny in Philadelphia","/title/tt0472954/"
"The Simpsons","/title/tt0096697/"
"Shingeki no kyojin","/title/tt2560140/"
"Nathan for You","/title/tt2297757/"
"The West Wing","/title/tt0200276/"
"South Park","/title/tt0121955/"
"The Haunting of Hill House","/title/tt6763664/"
"House M.D.","/title/tt0412142/"
"The Marvelous Mrs. Maisel","/title/tt5788792/"
"Curb Your Enthusiasm","/title/tt0264235/"
"Lonesome Dove","/title/tt0096639/"
"Chappelle's Show","/title/tt0353049/"
"The Adventures of Sherlock Holmes","/title/tt0086661/"
"Dragon Ball Z","/title/tt0214341/"
"The Jinx: The Life and Deaths of Robert Durst","/title/tt4299972/"
"Steins;Gate","/title/tt1910272/"
"Dragon Ball Z: Doragon bôru zetto","/title/tt0121220/"
"Deadwood","/title/tt0348914/"
"Battlestar Galactica","/title/tt0407362/"
"Better Call Saul","/title/tt3032476/"
"The Thick of It","/title/tt0459159/"
"Six Feet Under","/title/tt0248654/"
"The Return of Sherlock Holmes","/title/tt0090509/"
"The Crown","/title/tt4786824/"
"The Memoirs of Sherlock Holmes","/title/tt0108855/"
"The Shield","/title/tt0286486/"
"The X Files","/title/tt0106179/"
"Top Gear","/title/tt1628033/"
"Downton Abbey","/title/tt1606375/"
"Dexter","/title/tt0773262/"
"Monster","/title/tt0434706/"
"Young Justice","/title/tt1641384/"
"Archer","/title/tt1486217/"
"This Is Us","/title/tt5555260/"
"Blackadder II","/title/tt0088484/"
"From the Earth to the Moon","/title/tt0120570/"
"Daredevil","/title/tt3322312/"
"Star Trek: The Next Generation","/title/tt0092455/"
"Bron/Broen","/title/tt1733785/"
"Making a Murderer","/title/tt5189670/"
"Parks and Recreation","/title/tt1266020/"
"North & South","/title/tt0417349/"
"The Grand Tour","/title/tt5712554/"
"Blackadder the Third","/title/tt0092324/"
"Sacred Games","/title/tt6077448/"
"Battlestar Galactica","/title/tt0314979/"
"Kôdo giasu: Hangyaku no rurûshu","/title/tt0994314/"
"Long Way Round","/title/tt0403778/"
"Gomorra: La serie","/title/tt2049116/"
"Atlanta","/title/tt4288182/"
"Hagane no renkinjutsushi","/title/tt0421357/"
"Through the Wormhole","/title/tt1513168/"
"Spaced","/title/tt0187664/"
"Mad Men","/title/tt0804503/"
"Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen","/title/tt0203082/"
"Shameless","/title/tt1586680/"
"The Bugs Bunny Show","/title/tt0053488/"
"Doctor Who","/title/tt0436992/"
"Mind Your Language","/title/tt0075537/"
"QI","/title/tt0380136/"
"Friday Night Lights","/title/tt0758745/"
"Skam","/title/tt5288312/"
"Hunter x Hunter","/title/tt2098220/"
"MisteRogers' Neighborhood","/title/tt0062588/"
"Leyla ile Mecnun","/title/tt1831164/"
"Peep Show","/title/tt0387764/"
"Chef's Table","/title/tt4295140/"
"Father Ted","/title/tt0111958/"
"Justice League","/title/tt0275137/"
"Seinto Seiya","/title/tt0161952/"
"Shin Seiki Evangerion","/title/tt0112159/"
"Yes Minister","/title/tt0080306/"
"Flight of the Conchords","/title/tt0863046/"
"The Defiant Ones","/title/tt6958022/"
"The Newsroom","/title/tt1870479/"
"Justified","/title/tt1489428/"
"Generation Kill","/title/tt0995832/"
