"title","links"
"The Shawshank Redemption","/title/tt0111161/"
"The Godfather","/title/tt0068646/"
"The Godfather: Part II","/title/tt0071562/"
"The Dark Knight","/title/tt0468569/"
"12 Angry Men","/title/tt0050083/"
"Schindler's List","/title/tt0108052/"
"The Lord of the Rings: The Return of the King","/title/tt0167260/"
"Pulp Fiction","/title/tt0110912/"
"Il buono, il brutto, il cattivo","/title/tt0060196/"
"Fight Club","/title/tt0137523/"
"The Lord of the Rings: The Fellowship of the Ring","/title/tt0120737/"
"Forrest Gump","/title/tt0109830/"
"Star Wars: Episode V - The Empire Strikes Back","/title/tt0080684/"
"Inception","/title/tt1375666/"
"The Lord of the Rings: The Two Towers","/title/tt0167261/"
"One Flew Over the Cuckoo's Nest","/title/tt0073486/"
"Goodfellas","/title/tt0099685/"
"The Matrix","/title/tt0133093/"
"Shichinin no samurai","/title/tt0047478/"
"Se7en","/title/tt0114369/"
"Cidade de Deus","/title/tt0317248/"
"Star Wars","/title/tt0076759/"
"The Silence of the Lambs","/title/tt0102926/"
"It's a Wonderful Life","/title/tt0038650/"
"La vita è bella","/title/tt0118799/"
"Sen to Chihiro no kamikakushi","/title/tt0245429/"
"Saving Private Ryan","/title/tt0120815/"
"The Usual Suspects","/title/tt0114814/"
"Léon","/title/tt0110413/"
"The Green Mile","/title/tt0120689/"
"Interstellar","/title/tt0816692/"
"Psycho","/title/tt0054215/"
"American History X","/title/tt0120586/"
"City Lights","/title/tt0021749/"
"Casablanca","/title/tt0034583/"
"Once Upon a Time in the West","/title/tt0064116/"
"The Pianist","/title/tt0253474/"
"Modern Times","/title/tt0027977/"
"The Intouchables","/title/tt1675434/"
"The Departed","/title/tt0407887/"
"Back to the Future","/title/tt0088763/"
"Terminator 2: Judgment Day","/title/tt0103064/"
"Whiplash","/title/tt2582802/"
"The Lion King","/title/tt0110357/"
"Rear Window","/title/tt0047396/"
"Raiders of the Lost Ark","/title/tt0082971/"
"Gladiator","/title/tt0172495/"
"The Prestige","/title/tt0482571/"
"Spider-Man: Into the Spider-Verse","/title/tt4633694/"
"Apocalypse Now","/title/tt0078788/"
"Memento","/title/tt0209144/"
"Alien","/title/tt0078748/"
"Hotaru no haka","/title/tt0095327/"
"Nuovo Cinema Paradiso","/title/tt0095765/"
"The Great Dictator","/title/tt0032553/"
"Sunset Blvd.","/title/tt0043014/"
"The Lives of Others","/title/tt0405094/"
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","/title/tt0057012/"
"Paths of Glory","/title/tt0050825/"
"Avengers: Infinity War","/title/tt4154756/"
"Django Unchained","/title/tt1853728/"
"The Shining","/title/tt0081505/"
"WALL·E","/title/tt0910970/"
"Mononoke-hime","/title/tt0119698/"
"Witness for the Prosecution","/title/tt0051201/"
"Oldeuboi","/title/tt0364569/"
"Aliens","/title/tt0090605/"
"The Dark Knight Rises","/title/tt1345836/"
"American Beauty","/title/tt0169547/"
"Once Upon a Time in America","/title/tt0087843/"
"Coco","/title/tt2380307/"
"Das Boot","/title/tt0082096/"
"Citizen Kane","/title/tt0033467/"
"Braveheart","/title/tt0112573/"
"Vertigo","/title/tt0052357/"
"North by Northwest","/title/tt0053125/"
"Reservoir Dogs","/title/tt0105236/"
"Kimi no na wa.","/title/tt5311514/"
"Star Wars: Episode VI - Return of the Jedi","/title/tt0086190/"
"M - Eine Stadt sucht einen Mörder","/title/tt0022100/"
"Amadeus","/title/tt0086879/"
"Requiem for a Dream","/title/tt0180093/"
"Dangal","/title/tt5074352/"
"3 Idiots","/title/tt1187043/"
"2001: A Space Odyssey","/title/tt0062622/"
"Taare Zameen Par","/title/tt0986264/"
"Toy Story","/title/tt0114709/"
"Eternal Sunshine of the Spotless Mind","/title/tt0338013/"
"Lawrence of Arabia","/title/tt0056172/"
"A Clockwork Orange","/title/tt0066921/"
"Singin' in the Rain","/title/tt0045152/"
"Amélie","/title/tt0211915/"
"Double Indemnity","/title/tt0036775/"
"Taxi Driver","/title/tt0075314/"
"Inglourious Basterds","/title/tt0361748/"
"Full Metal Jacket","/title/tt0093058/"
"To Kill a Mockingbird","/title/tt0056592/"
"Ladri di biciclette","/title/tt0040522/"
"The Kid","/title/tt0012349/"
"Good Will Hunting","/title/tt0119217/"
"The Sting","/title/tt0070735/"
"Jagten","/title/tt2106476/"
"Toy Story 3","/title/tt0435761/"
"Snatch","/title/tt0208092/"
"Scarface","/title/tt0086250/"
"Per qualche dollaro in più","/title/tt0059578/"
"The Apartment","/title/tt0053604/"
"Metropolis","/title/tt0017136/"
"Monty Python and the Holy Grail","/title/tt0071853/"
"L.A. Confidential","/title/tt0119488/"
"Jodaeiye Nader az Simin","/title/tt1832382/"
